ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
39,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Tiafoe F.,Vavassori A.,28,256,1439,205,6,4,6,4,6,4,,,,,3,0,Completed,1.11,6.5,1.12,7.64,1.14,8.2,1.1,7
39,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Djokovic N.,Kwon S.W.,3,81,6770,698,6,3,3,6,6,3,6,4,,,3,1,Completed,1.005,34,1.01,31.88,1.01,34.22,1.01,22.46
39,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Isner J.,Couacaud E.,24,206,1616,276,6,7,7,6,4,6,6,3,7,5,3,2,Completed,1.16,5,1.24,4.64,1.24,5,1.21,4.41
39,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Kokkinakis T.,Majchrzak K.,79,91,728,635,7,6,6,2,7,5,,,,,3,0,Completed,2.1,1.72,2.17,1.78,2.17,1.83,2.09,1.75
39,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Alcaraz C.,Struff J.L.,7,155,4890,363,4,6,7,5,4,6,7,6,6,4,3,2,Completed,1.25,4,1.26,4.32,1.28,4.45,1.25,3.99
39,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Tabilo A.,Djere L.,78,57,746,946,7,6,6,2,1,6,4,6,7,6,3,2,Completed,2.62,1.5,2.68,1.53,3,1.53,2.72,1.47
39,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Vesely J.,Coria F.,68,67,829,840,6,3,6,2,7,6,,,,,3,0,Completed,1.05,11,1.09,9.72,1.09,12.72,1.07,8.88
39,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Van Rijthoven T.,Delbonis F.,104,84,546,679,7,6,6,1,6,2,,,,,3,0,Completed,1.12,6,1.13,7.13,1.14,7.75,1.11,6.61
39,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Sinner J.,Wawrinka S.,13,267,3185,191,7,5,4,6,6,3,6,2,,,3,1,Completed,1.33,3.4,1.33,3.65,1.35,3.65,1.31,3.43
39,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Kecmanovic M.,Millman J.,30,85,1306,676,6,3,2,6,6,3,6,4,,,3,1,Completed,1.44,2.75,1.42,3.11,1.46,3.13,1.4,2.93
39,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Lajovic D.,Carreno Busta P.,64,20,883,1930,3,6,6,4,,,,,,,1,1,Retired,3.4,1.33,4,1.29,4.13,1.33,3.71,1.28
39,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Griekspoor T.,Fognini F.,53,63,984,896,5,7,7,5,6,3,6,4,,,3,1,Completed,1.36,3.2,1.36,3.47,1.38,3.5,1.34,3.26
39,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Murray A.,Duckworth J.,52,74,995,766,4,6,6,3,6,2,6,4,,,3,1,Completed,1.16,5,1.16,6.22,1.18,6.7,1.16,5.37
39,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Bublik A.,Fucsovics M.,38,59,1105,922,6,1,6,2,6,4,,,,,3,0,Completed,1.57,2.37,1.56,2.61,1.6,2.66,1.53,2.5
39,London,Wimbledon,27/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Otte O.,Gojowczyk P.,36,92,1155,630,6,1,6,2,6,1,,,,,3,0,Completed,1.14,5.5,1.16,6.3,1.16,7,1.13,5.87
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Peniston R.,Laaksonen H.,135,96,440,606,6,4,6,3,6,2,,,,,3,0,Completed,1.2,4.5,1.21,5.11,1.29,5.25,1.2,4.53
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Grenier H.,Huesler M.A.,141,105,424,546,6,3,7,6,6,7,2,6,6,4,3,2,Completed,2.37,1.57,2.6,1.56,2.63,1.58,2.48,1.54
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Goffin D.,Albot R.,58,113,930,521,6,2,6,2,7,6,,,,,3,0,Completed,1.5,2.62,1.54,2.67,1.6,2.72,1.53,2.52
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Baez S.,Daniel T.,35,118,1168,504,6,4,6,4,7,5,,,,,3,0,Completed,1.9,1.9,1.87,2.04,1.92,2.1,1.85,1.96
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Johnson S.,Dimitrov G.,93,21,627,1785,4,6,5,2,,,,,,,0,1,Retired,4.5,1.2,4.97,1.22,5.06,1.24,4.64,1.19
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Gasquet R.,Sousa J.,69,60,817,918,7,6,6,2,4,6,4,6,6,3,3,2,Completed,1.5,2.62,1.49,2.84,1.55,2.85,1.48,2.68
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Opelka R.,Taberner C.,18,98,2100,585,7,6,6,4,6,4,,,,,3,0,Completed,1.16,5,1.15,6.41,1.16,6.41,1.14,5.84
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Kyrgios N.,Jubb P.,40,219,1070,256,3,6,6,1,7,5,6,7,7,5,3,2,Completed,1.07,9,1.11,8.16,1.11,9.7,1.08,8.01
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Molcan A.,Martinez P.,51,50,1006,1010,4,6,6,4,6,4,6,1,,,3,1,Completed,1.44,2.75,1.5,2.8,1.5,3.1,1.45,2.77
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Ymer M.,Altmaier D.,88,61,653,904,6,3,7,5,7,5,,,,,3,0,Completed,1.9,1.9,1.89,2.02,1.91,2.05,1.85,1.96
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,De Minaur A.,Dellien H.,27,80,1473,704,6,1,6,3,7,5,,,,,3,0,Completed,1.03,15,1.04,15.53,1.05,18,1.03,12.82
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Brooksby J.,Kukushkin M.,34,164,1187,334,6,3,6,2,6,3,,,,,3,0,Completed,1.4,3,1.49,2.83,1.51,3.1,1.43,2.83
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Berankis R.,Querrey S.,106,157,545,352,6,4,7,5,6,3,,,,,3,0,Completed,4,1.25,4.88,1.22,4.88,1.26,4.33,1.22
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Harrison C.,Clarke J.,251,156,210,361,7,6,6,1,7,6,,,,,3,0,Completed,1.72,2.1,1.71,2.27,1.78,2.27,1.7,2.16
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Bonzi B.,Kolar Z.,47,119,1026,503,6,3,6,3,6,1,,,,,3,0,Completed,1.1,7,1.08,10.08,1.13,10.08,1.1,7.38
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Garin C.,Ymer E.,43,137,1055,439,6,3,7,5,6,4,,,,,3,0,Completed,1.53,2.5,1.52,2.71,1.59,2.71,1.52,2.52
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Gaston H.,Popyrin A.,66,83,863,682,6,2,4,6,0,6,7,6,6,3,3,2,Completed,2.5,1.53,2.86,1.48,2.88,1.59,2.52,1.53
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Sock J.,Zapata Miralles B.,103,90,557,639,7,6,6,4,6,4,,,,,3,0,Completed,1.33,3.4,1.37,3.39,1.37,3.6,1.33,3.3
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Mcdonald M.,Borges N.,55,123,971,493,6,4,6,4,7,6,,,,,3,0,Completed,1.33,3.4,1.34,3.58,1.35,3.95,1.31,3.5
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Giron M.,Rune H.,65,29,866,1420,6,3,7,5,6,4,,,,,3,0,Completed,1.72,2.1,1.7,2.29,1.78,2.29,1.71,2.16
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Sonego L.,Kudla D.,54,75,980,763,6,7,6,3,7,5,4,6,6,2,3,2,Completed,1.9,1.9,1.98,1.93,2,2.1,1.89,1.91
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Krajinovic F.,Lehecka J.,31,72,1300,776,5,7,6,4,6,7,7,6,6,4,3,2,Completed,1.36,3.2,1.38,3.34,1.39,3.75,1.34,3.25
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Draper J.,Bergs Z.,94,146,627,403,6,4,6,4,7,6,,,,,3,0,Completed,1.33,3.4,1.35,3.52,1.37,3.84,1.33,3.34
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Nadal R.,Cerundolo F.,4,41,6525,1070,6,4,6,3,3,6,6,4,,,3,1,Completed,1.04,13,1.03,18.32,1.04,21,1.03,14.7
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Thompson J.,Carballes Baena R.,76,87,750,663,6,4,6,1,6,1,,,,,3,0,Completed,1.08,8,1.07,10.85,1.08,10.85,1.07,8.68
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Cressy M.,Auger-Aliassime F.,45,9,1047,3760,6,7,6,4,7,6,7,6,,,3,1,Completed,3.5,1.3,3.81,1.31,3.81,1.38,3.52,1.31
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Van De Zandschulp B.,Lopez F.,25,240,1518,222,6,2,6,3,6,3,,,,,3,0,Completed,1.2,4.5,1.2,5.23,1.21,5.5,1.19,4.77
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Ruusuvuori E.,Nishioka Y.,49,101,1015,574,6,2,6,2,4,6,6,4,,,3,1,Completed,1.14,5.5,1.15,6.37,1.16,6.5,1.14,5.75
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Gray A.,Tseng C.H.,288,95,173,626,6,3,6,3,7,6,,,,,3,0,Completed,2.2,1.66,2.36,1.67,2.4,1.7,2.26,1.64
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Schwartzman D.,Kozlov S.,15,107,2325,543,6,3,6,2,6,2,,,,,3,0,Completed,1.2,4.5,1.25,4.45,1.25,5.5,1.2,4.55
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Nakashima B.,Kuhn N.,56,261,969,200,6,3,6,7,6,3,6,2,,,3,1,Completed,1.08,8,1.07,11.63,1.11,11.63,1.06,9.51
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Shapovalov D.,Rinderknech A.,16,62,2293,901,6,1,6,7,6,7,6,4,6,1,3,2,Completed,1.36,3.2,1.36,3.47,1.44,3.47,1.36,3.14
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Broady L.,Klein L.,132,243,444,217,4,6,6,3,7,5,6,7,6,3,3,2,Completed,1.66,2.2,1.75,2.21,1.76,2.28,1.7,2.16
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Tsitsipas S.,Ritschard A.,5,188,5150,295,7,6,6,3,5,7,6,4,,,3,1,Completed,1.05,11,1.03,17.64,1.05,18,1.03,13.16
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Galan D.E.,Koepfer D.,109,117,528,505,6,4,7,5,7,6,,,,,3,0,Completed,2.37,1.57,2.36,1.67,2.45,1.74,2.3,1.62
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Bautista Agut R.,Balazs A.,19,331,2008,136,6,1,6,0,6,3,,,,,3,0,Completed,1.02,19,1.04,16.46,1.04,20,1.02,14.85
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Novak D.,Bagnis F.,153,102,371,558,7,6,2,6,6,4,6,3,,,3,1,Completed,1.2,4.5,1.18,5.74,1.22,5.75,1.17,5.12
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Kubler J.,Evans D.,99,33,580,1198,6,1,6,4,6,3,,,,,3,0,Completed,4,1.25,4.75,1.23,4.8,1.25,4.4,1.21
39,London,Wimbledon,28/06/2022,Grand Slam,Outdoor,Grass,1st Round,5,Fritz T.,Musetti L.,14,70,3045,790,6,4,6,4,6,3,,,,,3,0,Completed,1.16,5,1.16,6.2,1.18,7.25,1.14,5.89
39,London,Wimbledon,29/06/2022,Grand Slam,Outdoor,Grass,2nd Round,5,Goffin D.,Baez S.,58,35,930,1168,6,1,6,2,6,4,,,,,3,0,Completed,1.57,2.37,1.52,2.73,1.62,2.75,1.52,2.55
39,London,Wimbledon,29/06/2022,Grand Slam,Outdoor,Grass,2nd Round,5,Johnson S.,Peniston R.,93,135,627,440,6,3,6,2,6,4,,,,,3,0,Completed,2.2,1.66,2.12,1.81,2.23,1.84,2.1,1.74
39,London,Wimbledon,29/06/2022,Grand Slam,Outdoor,Grass,2nd Round,5,Kecmanovic M.,Tabilo A.,30,78,1306,746,7,6,7,6,3,6,6,3,,,3,1,Completed,1.22,4.33,1.25,4.85,1.3,4.85,1.23,4.11
39,London,Wimbledon,29/06/2022,Grand Slam,Outdoor,Grass,2nd Round,5,Humbert U.,Ruud C.,112,6,521,5050,3,6,6,2,7,5,6,4,,,3,1,Completed,2.37,1.57,2.41,1.64,2.5,1.64,2.35,1.59
39,London,Wimbledon,29/06/2022,Grand Slam,Outdoor,Grass,2nd Round,5,Tiafoe F.,Marterer M.,28,172,1439,319,6,2,6,2,7,6,,,,,3,0,Completed,1.2,4.5,1.22,4.87,1.25,5,1.2,4.48
39,London,Wimbledon,29/06/2022,Grand Slam,Outdoor,Grass,2nd Round,5,Djokovic N.,Kokkinakis T.,3,79,6770,728,6,1,6,4,6,2,,,,,3,0,Completed,1.02,17,1.03,19.67,1.06,21,1.02,15.05
39,London,Wimbledon,29/06/2022,Grand Slam,Outdoor,Grass,2nd Round,5,Otte O.,Harrison C.,36,251,1155,210,3,1,,,,,,,,,0,0,Retired,1.16,5,1.15,6.39,1.2,6.5,1.15,5.56
39,London,Wimbledon,29/06/2022,Grand Slam,Outdoor,Grass,2nd Round,5,Bublik A.,Lajovic D.,38,64,1105,883,7,6,6,2,7,5,,,,,3,0,Completed,1.2,4.5,1.21,5.07,1.28,5.07,1.21,4.45
39,London,Wimbledon,29/06/2022,Grand Slam,Outdoor,Grass,2nd Round,5,Norrie C.,Munar J.,12,71,3200,780,6,4,3,6,5,7,6,0,6,2,3,2,Completed,1.11,6.5,1.16,6.22,1.18,7,1.13,6.15
39,London,Wimbledon,29/06/2022,Grand Slam,Outdoor,Grass,2nd Round,5,Basilashvili N.,Halys Q.,26,82,1473,687,7,6,0,6,7,5,7,6,,,3,1,Completed,1.66,2.2,1.7,2.29,1.77,2.3,1.69,2.18
39,London,Wimbledon,29/06/2022,Grand Slam,Outdoor,Grass,2nd Round,5,Sinner J.,Ymer M.,13,88,3185,653,6,4,6,3,5,7,6,2,,,3,1,Completed,1.2,4.5,1.21,5.02,1.23,5.27,1.2,4.63
39,London,Wimbledon,29/06/2022,Grand Slam,Outdoor,Grass,2nd Round,5,Vesely J.,Davidovich Fokina A.,68,37,829,1120,6,3,5,7,6,7,6,3,7,6,3,2,Completed,2.3,1.61,2.48,1.61,2.51,1.67,2.37,1.59
39,London,Wimbledon,29/06/2022,Grand Slam,Outdoor,Grass,2nd Round,5,Paul T.,Mannarino A.,32,86,1208,665,6,2,6,4,6,1,,,,,3,0,Completed,1.61,2.3,1.74,2.23,1.74,2.5,1.64,2.26
39,London,Wimbledon,29/06/2022,Grand Slam,Outdoor,Grass,2nd Round,5,Van Rijthoven T.,Opelka R.,104,18,546,2100,6,4,6,7,7,6,7,6,,,3,1,Completed,1.8,2,1.68,2.33,1.83,2.33,1.73,2.12
39,London,Wimbledon,29/06/2022,Grand Slam,Outdoor,Grass,2nd Round,5,Isner J.,Murray A.,24,52,1616,995,6,4,7,6,6,7,6,4,,,3,1,Completed,3.2,1.36,3.45,1.36,3.45,1.43,3.21,1.35
39,London,Wimbledon,29/06/2022,Grand Slam,Outdoor,Grass,2nd Round,5,Alcaraz C.,Griekspoor T.,7,53,4890,984,6,4,7,6,6,3,,,,,3,0,Completed,1.33,3.4,1.29,4,1.33,4,1.29,3.64
39,London,Wimbledon,30/06/2022,Grand Slam,Outdoor,Grass,2nd Round,5,Gasquet R.,Mcdonald M.,69,55,817,971,6,3,3,6,6,4,6,3,,,3,1,Completed,2.2,1.66,2.43,1.63,2.49,1.69,2.3,1.62
39,London,Wimbledon,30/06/2022,Grand Slam,Outdoor,Grass,2nd Round,5,Molcan A.,Giron M.,51,65,1006,866,6,3,6,2,6,4,,,,,3,0,Completed,2.3,1.61,2.66,1.54,2.75,1.63,2.5,1.54
39,London,Wimbledon,30/06/2022,Grand Slam,Outdoor,Grass,2nd Round,5,Van De Zandschulp B.,Ruusuvuori E.,25,49,1518,1015,3,6,6,1,6,4,6,4,,,3,1,Completed,1.72,2.1,1.79,2.15,1.83,2.2,1.75,2.1
39,London,Wimbledon,30/06/2022,Grand Slam,Outdoor,Grass,2nd Round,5,Fritz T.,Gray A.,14,288,3045,173,6,3,7,6,6,3,,,,,3,0,Completed,1.05,11,1.05,14.65,1.06,16,1.04,11.42
39,London,Wimbledon,30/06/2022,Grand Slam,Outdoor,Grass,2nd Round,5,Kyrgios N.,Krajinovic F.,40,31,1070,1300,6,2,6,3,6,1,,,,,3,0,Completed,1.28,3.75,1.29,4.02,1.33,4.02,1.28,3.75
39,London,Wimbledon,30/06/2022,Grand Slam,Outdoor,Grass,2nd Round,5,Sonego L.,Gaston H.,54,66,980,863,7,6,6,4,6,4,,,,,3,0,Completed,1.25,4,1.23,4.7,1.27,4.74,1.23,4.17
39,London,Wimbledon,30/06/2022,Grand Slam,Outdoor,Grass,2nd Round,5,Broady L.,Schwartzman D.,132,15,444,2325,6,2,4,6,0,6,7,6,6,1,3,2,Completed,3.4,1.33,3.38,1.37,3.5,1.37,3.32,1.33
39,London,Wimbledon,30/06/2022,Grand Slam,Outdoor,Grass,2nd Round,5,Tsitsipas S.,Thompson J.,5,76,5150,750,6,2,6,3,7,5,,,,,3,0,Completed,1.2,4.5,1.24,4.63,1.24,5.25,1.2,4.61
39,London,Wimbledon,30/06/2022,Grand Slam,Outdoor,Grass,2nd Round,5,Garin C.,Grenier H.,43,141,1055,424,6,3,6,1,6,1,,,,,3,0,Completed,1.4,3,1.51,2.78,1.51,3.25,1.4,2.95
39,London,Wimbledon,30/06/2022,Grand Slam,Outdoor,Grass,2nd Round,5,Galan D.E.,Bautista Agut R.,109,19,528,2008,,,,,,,,,,,,,Walkover,7,1.1,9.98,1.08,10.5,1.11,8.51,1.07
39,London,Wimbledon,30/06/2022,Grand Slam,Outdoor,Grass,2nd Round,5,Nakashima B.,Shapovalov D.,56,16,969,2293,6,2,4,6,6,1,7,6,,,3,1,Completed,2.3,1.61,2.36,1.67,2.4,1.68,2.29,1.62
39,London,Wimbledon,30/06/2022,Grand Slam,Outdoor,Grass,2nd Round,5,Nadal R.,Berankis R.,4,106,6525,545,6,4,6,4,4,6,6,3,,,3,1,Completed,1.03,15,1.07,11.41,1.07,15,1.04,11.61
39,London,Wimbledon,30/06/2022,Grand Slam,Outdoor,Grass,2nd Round,5,Brooksby J.,Bonzi B.,34,47,1187,1026,7,6,7,5,6,3,,,,,3,0,Completed,2.2,1.66,2.43,1.63,2.52,1.72,2.29,1.62
39,London,Wimbledon,30/06/2022,Grand Slam,Outdoor,Grass,2nd Round,5,De Minaur A.,Draper J.,27,94,1473,627,5,7,7,6,6,2,6,3,,,3,1,Completed,1.57,2.37,1.53,2.71,1.57,2.71,1.52,2.53
39,London,Wimbledon,01/07/2022,Grand Slam,Outdoor,Grass,2nd Round,5,Sock J.,Cressy M.,103,45,557,1047,6,4,6,4,3,6,7,6,,,3,1,Completed,2.75,1.44,2.93,1.46,2.95,1.5,2.75,1.45
39,London,Wimbledon,01/07/2022,Grand Slam,Outdoor,Grass,2nd Round,5,Kubler J.,Novak D.,99,153,580,371,6,3,6,4,6,4,,,,,3,0,Completed,1.53,2.5,1.5,2.79,1.53,2.93,1.49,2.65
39,London,Wimbledon,01/07/2022,Grand Slam,Outdoor,Grass,3rd Round,5,Tiafoe F.,Bublik A.,28,38,1439,1105,3,6,7,6,7,6,6,4,,,3,1,Completed,2,1.8,2.12,1.81,2.13,1.84,2.04,1.79
39,London,Wimbledon,01/07/2022,Grand Slam,Outdoor,Grass,3rd Round,5,Van Rijthoven T.,Basilashvili N.,104,26,546,1473,6,4,6,3,6,4,,,,,3,0,Completed,1.4,3,1.44,3.03,1.47,3.1,1.42,2.87
39,London,Wimbledon,01/07/2022,Grand Slam,Outdoor,Grass,3rd Round,5,Goffin D.,Humbert U.,58,112,930,521,4,6,7,5,6,2,7,5,,,3,1,Completed,1.66,2.2,1.69,2.31,1.76,2.42,1.65,2.24
39,London,Wimbledon,01/07/2022,Grand Slam,Outdoor,Grass,3rd Round,5,Paul T.,Vesely J.,32,68,1208,829,6,3,6,2,6,2,,,,,3,0,Completed,1.44,2.75,1.51,2.76,1.55,3,1.46,2.73
39,London,Wimbledon,01/07/2022,Grand Slam,Outdoor,Grass,3rd Round,5,Djokovic N.,Kecmanovic M.,3,30,6770,1306,6,0,6,3,6,4,,,,,3,0,Completed,1.02,17,1.03,20.34,1.04,21,1.02,15.88
39,London,Wimbledon,01/07/2022,Grand Slam,Outdoor,Grass,3rd Round,5,Sinner J.,Isner J.,13,24,3185,1616,6,4,7,6,6,3,,,,,3,0,Completed,1.57,2.37,1.65,2.3,1.66,2.46,1.61,2.31
39,London,Wimbledon,01/07/2022,Grand Slam,Outdoor,Grass,3rd Round,5,Alcaraz C.,Otte O.,7,36,4890,1155,6,3,6,1,6,2,,,,,3,0,Completed,1.33,3.4,1.3,3.89,1.33,4.2,1.3,3.5
39,London,Wimbledon,01/07/2022,Grand Slam,Outdoor,Grass,3rd Round,5,Norrie C.,Johnson S.,12,93,3200,627,6,4,6,1,6,0,,,,,3,0,Completed,1.28,3.75,1.32,3.71,1.33,3.76,1.3,3.56
39,London,Wimbledon,02/07/2022,Grand Slam,Outdoor,Grass,3rd Round,5,Garin C.,Brooksby J.,43,34,1055,1187,6,2,6,3,1,6,6,4,,,3,1,Completed,3,1.4,3.27,1.39,3.35,1.42,3.09,1.37
39,London,Wimbledon,02/07/2022,Grand Slam,Outdoor,Grass,3rd Round,5,Kubler J.,Sock J.,99,103,580,557,6,2,4,6,5,7,7,6,6,3,3,2,Completed,2.37,1.57,2.5,1.6,2.55,1.61,2.42,1.57
39,London,Wimbledon,02/07/2022,Grand Slam,Outdoor,Grass,3rd Round,5,Van De Zandschulp B.,Gasquet R.,25,69,1518,817,7,5,2,6,7,6,6,1,,,3,1,Completed,1.36,3.2,1.41,3.15,1.42,3.44,1.38,3.04
39,London,Wimbledon,02/07/2022,Grand Slam,Outdoor,Grass,3rd Round,5,De Minaur A.,Broady L.,27,132,1473,444,6,3,6,4,7,5,,,,,3,0,Completed,1.12,6,1.13,7.01,1.16,7.5,1.12,6.34
39,London,Wimbledon,02/07/2022,Grand Slam,Outdoor,Grass,3rd Round,5,Nakashima B.,Galan D.E.,56,109,969,528,6,4,6,4,6,1,,,,,3,0,Completed,1.1,7,1.14,6.74,1.15,7.75,1.11,6.65
39,London,Wimbledon,02/07/2022,Grand Slam,Outdoor,Grass,3rd Round,5,Fritz T.,Molcan A.,14,51,3045,1006,6,4,6,1,7,6,,,,,3,0,Completed,1.2,4.5,1.22,4.82,1.25,5,1.21,4.47
39,London,Wimbledon,02/07/2022,Grand Slam,Outdoor,Grass,3rd Round,5,Kyrgios N.,Tsitsipas S.,40,5,1070,5150,6,7,6,4,6,3,7,6,,,3,1,Completed,1.72,2.1,1.82,2.1,1.85,2.2,1.76,2.09
